State,Population,Area,Density,Male,Female,00-04,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+, TotalSmokingRate, MaleSmokingRate,FemaleSmokingRate,Obesity2016
Abruzzo,1311580,10831.84,121,640136,671444,48946,55922,58066,59028,63413,70825,74859,81447,93802,102497,106619,96520,87172,80221,70823,58685,102735,24.00, 28.30,19.70,19.9
Basilicata,562869,10073.32,56,276697,286172,19759,22232,24976,28003,29933,33571,33373,33895,39125,42223,45084,42946,38354,34256,28317,23128,43694,24.00, 28.30,19.70,19.9
Calabria,1947131,15221.9,128,955673,991458,79354,85958,92151,98525,106903,120133,123361,124940,135528,141882,148498,142014,127471,114667,97454,76906,131386,24.00, 28.30,19.70,19.9
Campania,5801692,13670.95,424,2828490,2973202,250120,280792,309690,331780,347796,368105,361248,375224,418267,441880,455073,413475,357136,309742,272599,207468,301297,24.00, 28.30,19.70,19.9
Emilia-Romagna,4459477,22452.78,199,2168535,2290942,175286,202890,206804,198108,199360,217296,238324,271567,338370,370819,366323,324821,281537,253106,243547,211077,360242,24.00, 28.30,19.70,19.9
Friuli Venezia Giulia,1215220,7924.36,153,590802,624418,42704,50478,53174,52848,53138,57214,60859,68486,86046,99035,102175,92013,79194,75948,74884,66699,100325,24.00, 28.30,19.70,19.9
Lazio,5879082,17232.29,341,2838406,3040676,233521,272762,278247,268635,279090,305014,335478,382154,452695,493964,495819,435338,370435,325377,300351,255531,394671,24.00, 28.30,19.70,19.9
Liguria,1550640,5416.21,286,741760,808880,50050,59068,63611,64711,67450,71210,73118,78520,100787,122680,132238,120256,105179,98148,99151,90336,154127,24.00, 28.30,19.70,19.9
Lombardia,10060574,23863.65,422,4924451,5136123,410931,473483,489077,472160,475256,507098,557667,629927,759649,831385,842639,723536,614930,567229,530491,463745,711371,24.00, 28.30,19.70,19.9
Marche,1525271,9401.38,162,740927,784344,56505,66945,69343,69272,72107,76718,80805,91547,111090,119284,121786,112002,99546,91552,82966,73291,130512,24.00, 28.30,19.70,19.9
Molise,305617,4460.65,69,150580,155037,10368,11580,12669,13948,16164,17475,17621,18490,20969,22515,24466,23049,21016,19445,16527,13342,25973,24.00, 28.30,19.70,19.9
Piemonte,4356406,25387.07,172,2115079,2241327,159886,186452,194003,192789,198530,210484,223383,248811,308532,349767,360191,322062,288774,270066,254764,224791,363121,24.00, 28.30,19.70,19.9
Puglia,4029053,19540.9,206,1959903,2069150,154091,178577,195226,212338,220980,233354,230926,249522,296049,305267,318548,288130,256253,236553,218107,170743,264389,24.00, 28.30,19.70,19.9
Sardegna,1639591,24100.02,68,805762,833829,52321,63987,67493,70746,74132,84401,90803,102720,125257,134870,137726,128424,117097,105957,92552,77659,113446,24.00, 28.30,19.70,19.9
Sicilia,4999891,25832.39,194,2432589,2567302,209878,230227,249512,265832,280394,305022,301843,313139,352290,373899,381701,356359,319810,285692,257054,201193,316046,24.00, 28.30,19.70,19.9
Toscana,3729641,22987.04,162,1800741,1928900,135581,159329,167964,163218,165006,178608,194568,220000,272458,303216,307618,274456,240531,222345,222933,187488,314322,24.00, 28.30,19.70,19.9
P.A. Trento,1072276,13605.5,79,528210,544066,50706,54265,56368,56996,58620,59564,60024,64722,73728,83884,88090,77701,64190,56480,51249,46606,69083,24.00, 28.30,19.70,19.9
Umbria,882015,8464.33,104,424819,457196,31843,38231,40408,38786,39527,43081,47054,53296,63467,68560,70329,64814,56989,53821,50570,44389,76850,24.00, 28.30,19.70,19.9
Valle d'Aosta,125666,3260.9,39,61423,64243,4776,5752,5972,5935,5862,6052,6434,7011,8956,10337,10870,9536,8209,7694,6828,6123,9319,24.00, 28.30,19.70,19.9
Veneto,4905854,18345.35,267,2399783,2506071,191060,223866,236979,233483,236584,245800,257598,289454,361292,406333,418543,370443,312414,282674,262685,229481,347165,24.00, 28.30,19.70,19.9
