Regione	Population	Area_km	Density	Numero Comuni	Numero Province
Abruzzo	1.311.580	10.831,84	121	305	4
Basilicata	562.869	10.073,32	56	131	2
Calabria	1.947.131	15.221,90	128	404	5
Campania	5.801.692	13.670,95	424	550	5
Emilia-Romagna	4.459.477	22.452,78	199	328	9
Friuli Venezia Giulia	1.215.220	7.924,36	153	215	4
Lazio	5.879.082	17.232,29	341	378	5
Liguria	1.550.640	5.416,21	286	234	4
Lombardia	10.060.574	23.863,65	422	1.506	12
Marche	1.525.271	9.401,38	162	228	5
Molise	305.617	4.460,65	69	136	2
Piemonte	4.356.406	25.387,07	172	1.181	8
Puglia	4.029.053	19.540,90	206	257	6
Sardegna	1.639.591	24.100,02	68	377	5
Sicilia	4.999.891	25.832,39	194	390	9
Toscana	3.729.641	22.987,04	162	273	10
P.A. Trento	1.072.276	13.605,50	79	282	2
Umbria	882.015	8.464,33	104	92	2
Valle d'Aosta	125.666	3.260,90	39	74	1
Veneto	4.905.854	18.345,35	267	563	7
